,formula_pretty,formation_energy_per_atom
417,DyH3,-0.7320232983333336
418,MgGaAu2,-0.42971256562500004
419,KLi3Si12(SnO15)2,-3.0408515005833343
420,NaHf2CuSe5,-1.4148498586967193
421,RbGdSe2,-1.9762405205468747
422,CdBiBF10,-2.560453038782051
423,Na3Sc2(PO4)3,-3.075348785982759
424,Rb3Pr2(NO3)9,-1.4703518031097553
425,Rb2BrCl6F,-1.1815350224999999
426,GaSbO4,-2.0545152529166657
427,UB4W,-0.5034315936111101
428,BaSi,-0.38598382750000004
429,GdFe5P3,-0.714500008055555
430,LiMg2Pt,-0.6285750908333334
431,EuGe3Rh,-0.63038327
432,Rb2Be3Ni2F12,-3.090916539868421
433,NaCl3,-1.2916478641379312
434,KLu(CO3)2,-2.5767276263
435,KHo2CuSe4,-1.7344577702968746
436,Na3CoAsCO7,-1.9363070101657829
437,Ba(ErTe2)2,-1.767834745357143
438,Zn3Ru,-0.15152305375000008
439,PaSe3,-1.2071475267578125
440,CaCu2F8,-2.367650238181818
441,Mg(HO)2,-2.0095060919999996
442,KMo(PO4)2,-2.5227143135138888
443,Ba(GaPt)2,-0.8137107109999995
444,RbAg(NO3)2,-1.0577076034166673
445,Sc3CoC4,-0.4491226412499998
446,TaW,-0.06753659500000175
447,Tm11Cd45,-0.1987060519345236
448,Y(BH4)3,-0.4206495354947908
449,TiTeSe,-1.2124700852256947
450,Cs2LiTbCl6,-2.4899195879195397
451,SrTcO3,-2.455559273833333
452,ZrCd3,-0.10367936750000029
453,Eu2GeO5,-2.8207510925
454,V6Ga5,-0.21309670340909034
455,Ce2NCl3,-2.4198333133333336
456,Mn4SiTeBr2O7,-2.083373574114942
457,Mn5B2P,-0.480750059540231
458,Gd2Sn2O7,-2.995185214545454
459,Mg2V2O7,-2.6806313890909093
460,KNiAsO4,-1.7969505979285714
461,SnO,-1.6297024024999995
462,Gd2Tl,-0.3099329761111112
463,Na3GeSe3,-1.0688136666694885
464,Np(Al2Cu)4,-0.2232422514423078
465,Cu4SnP10,-0.12301635922222166
466,Sc2GaB2Rh5,-0.8908090585833321
467,TlHPd3,-0.2607580776666666
468,DyCu,-0.2482322400000001
469,Na4UCr3O14,-2.2316344211912233
470,La(CoB)2,-0.4789292946666663
471,Rb(TeO3)2,-1.6374384313888883
472,LiMn6P7O24,-2.5991175691908643
473,Ho(Co2B)6,-0.34783233552631626
474,Mg149Se,-0.03292036261562506
475,LiAl(Si2O5)2,-3.243760349895834
476,BaV2TeO8,-2.3999003468750004
477,Ag3AsS3,-0.315364011339286
478,SrCo2(AsO4)2,-1.9627644297435909
479,Tl4SiSe4,-0.6732880161342586
480,Tl3AgTe2,-0.40181729486111095
481,Zr2Ni12P7,-0.7382876030158736
482,NpSe,-1.2989731955468766
483,Cs2ZrCu3F12,-2.7468541044923374
484,NbNiP,-0.8393726344444445
485,Rb2Mo2P2O11,-2.441045060833334
486,K4Na2(Si2O5)3,-2.9150366027816097
487,NaPmAu2,-0.5952748635129308
488,Pm2GaRu,-0.33133962687499974
489,LaMoClO4,-2.713939755892857
490,Pr3SnN,-0.9924645509999998
491,La(BOs)2,-0.4539265256666667
492,Cr2TeO6,-2.022344022777778
493,Sm5Ir3,-0.6895768325000002
494,U3SiPt5,-0.7307671494444432
495,Ce5C2Br9,-2.0144664985937495
496,Rb2NaErF6,-3.6059004916551722
497,Er6MnTe2,-0.6734849031034484
498,Tl2Pt2O7,-1.150827483787878
499,La2GeO5,-3.3301412653125
500,Er6Ni20P13,-0.917274380085471
501,SrCuSb,-0.7663152038888891
502,LaGeI,-1.263786938333333
503,In3Ru,-0.14073145875000037
504,ZnRhF6,-2.1077489106250002
505,Cs2Au2Se3,-0.8783383746990455
506,GdCdAg2,-0.27758282333333284
507,Na3Mg3In(SO4)6,-2.2560300798217616
508,Y5(FeTe)2,-0.7485332981481486
509,Li3Lu3(TeO6)2,-2.7892111211249997
510,VSb(SeO3)4,-1.540754288576389
511,Gd(AlCu)6,-0.3552262753846154
512,USO6,-2.736614801328125
513,Cu2(SO4)3,-1.4625912511397066
514,LiSiRu2,-0.3529243333333332
515,Th6CBr14,-1.9176285557142863
516,BaMn5(SO4)6,-2.1581183146779233
517,La6Si7Br3,-1.1557235882812504
518,SiAs,-0.07200912000000059
519,NaSm3Ti2(SbO7)2,-3.119376271282654
520,DyThFe14B,-0.10748244421568763
521,KGeAuS3,-0.8482190212291668
522,Na3U6CrF30,-3.7535764972413785
523,Nd11Cd45,-0.2735794499107142
524,Al2H32S3O28,-1.569131366682692
525,SnSe,-0.6685497174218749
